county_geoid,state_code,state_name
01003,AL,Alabama
01097,AL,Alabama
06001,CA,California
06013,CA,California
06015,CA,California
06023,CA,California
06037,CA,California
06041,CA,California
06045,CA,California
06053,CA,California
06055,CA,California
06059,CA,California
06073,CA,California
06075,CA,California
06079,CA,California
06081,CA,California
06083,CA,California
06085,CA,California
06087,CA,California
06095,CA,California
06097,CA,California
06111,CA,California
09001,CT,Connecticut
09003,CT,Connecticut
09007,CT,Connecticut
09009,CT,Connecticut
09011,CT,Connecticut
10001,DE,Delaware
10003,DE,Delaware
10005,DE,Delaware
11001,DC,District of Columbia
12005,FL,Florida
12009,FL,Florida
12011,FL,Florida
12015,FL,Florida
12017,FL,Florida
12019,FL,Florida
12021,FL,Florida
12027,FL,Florida
12029,FL,Florida
12031,FL,Florida
12033,FL,Florida
12035,FL,Florida
12037,FL,Florida
12041,FL,Florida
12045,FL,Florida
12053,FL,Florida
12057,FL,Florida
12061,FL,Florida
12065,FL,Florida
12069,FL,Florida
12071,FL,Florida
12075,FL,Florida
12077,FL,Florida
12081,FL,Florida
12083,FL,Florida
12085,FL,Florida
12086,FL,Florida
12087,FL,Florida
12089,FL,Florida
12091,FL,Florida
12099,FL,Florida
12101,FL,Florida
12103,FL,Florida
12107,FL,Florida
12109,FL,Florida
12111,FL,Florida
12113,FL,Florida
12115,FL,Florida
12117,FL,Florida
12123,FL,Florida
12127,FL,Florida
12129,FL,Florida
12131,FL,Florida
12133,FL,Florida
13025,GA,Georgia
13029,GA,Georgia
13039,GA,Georgia
13049,GA,Georgia
13051,GA,Georgia
13127,GA,Georgia
13179,GA,Georgia
13183,GA,Georgia
13191,GA,Georgia
13305,GA,Georgia
15001,HI,Hawaii
15003,HI,Hawaii
15007,HI,Hawaii
15009,HI,Hawaii
22001,LA,Louisiana
22005,LA,Louisiana
22007,LA,Louisiana
22011,LA,Louisiana
22019,LA,Louisiana
22023,LA,Louisiana
22033,LA,Louisiana
22045,LA,Louisiana
22047,LA,Louisiana
22051,LA,Louisiana
22053,LA,Louisiana
22055,LA,Louisiana
22057,LA,Louisiana
22063,LA,Louisiana
22071,LA,Louisiana
22075,LA,Louisiana
22077,LA,Louisiana
22087,LA,Louisiana
22089,LA,Louisiana
22093,LA,Louisiana
22095,LA,Louisiana
22097,LA,Louisiana
22099,LA,Louisiana
22101,LA,Louisiana
22103,LA,Louisiana
22105,LA,Louisiana
22109,LA,Louisiana
22113,LA,Louisiana
22121,LA,Louisiana
23005,ME,Maine
23009,ME,Maine
23011,ME,Maine
23013,ME,Maine
23015,ME,Maine
23019,ME,Maine
23023,ME,Maine
23027,ME,Maine
23029,ME,Maine
23031,ME,Maine
24003,MD,Maryland
24005,MD,Maryland
24009,MD,Maryland
24011,MD,Maryland
24015,MD,Maryland
24017,MD,Maryland
